height_cm,weight_kg,age,gender,activity_level,goal
165,70.8,17,male,moderate,gain
166,57.3,29,female,very_active,maintain
144,53.8,13,female,sedentary,cut
166,53.8,29,female,moderate,cut
181,74.9,28,male,very_active,maintain
163,64.0,20,male,sedentary,maintain
153,54.1,17,male,sedentary,gain
169,64.2,25,female,sedentary,maintain
189,92.0,29,male,moderate,cut
181,92.3,21,female,light,cut
171,76.6,29,male,moderate,gain
191,84.5,18,female,active,maintain
173,78.7,28,male,sedentary,gain
186,60.0,17,male,sedentary,gain
167,61.9,18,female,very_active,maintain
193,86.2,23,male,light,cut
167,54.7,18,female,very_active,maintain
191,81.6,18,male,moderate,gain
171,73.9,24,male,sedentary,maintain
189,60.8,16,female,light,gain
188,91.8,16,female,light,cut
185,77.2,14,male,sedentary,gain
177,59.1,14,female,light,cut
184,64.4,30,female,active,maintain
174,81.9,23,male,moderate,gain
178,90.2,25,female,active,cut
168,62.9,27,female,sedentary,gain
185,76.7,13,male,very_active,maintain
164,80.3,26,female,moderate,maintain
194,75.2,23,female,very_active,gain
161,65.1,28,male,light,cut
171,52.9,14,male,sedentary,gain
164,65.1,22,female,active,cut
148,54.0,16,female,light,cut
153,59.6,24,male,sedentary,gain
195,75.5,29,female,active,maintain
166,53.5,13,female,active,gain
161,53.2,22,female,sedentary,cut
153,52.0,27,female,very_active,maintain
173,66.1,25,female,moderate,maintain
163,47.3,13,female,light,cut
182,89.1,24,male,light,maintain
179,68.6,29,male,very_active,maintain
173,70.5,22,female,active,gain
192,85.0,26,male,moderate,maintain
162,62.2,29,male,sedentary,gain
168,61.4,22,male,very_active,gain
190,92.6,25,male,active,cut
161,47.5,16,female,very_active,cut
152,59.2,20,female,moderate,maintain
149,39.0,14,male,moderate,maintain
194,109.7,18,female,sedentary,gain
189,83.8,19,female,light,cut
188,89.6,28,female,very_active,maintain
140,50.2,16,male,sedentary,gain
190,75.6,15,male,very_active,gain
188,70.5,28,female,active,maintain
181,85.1,27,female,light,gain
190,66.6,17,female,sedentary,maintain
161,70.7,24,male,sedentary,gain
172,74.4,24,female,very_active,maintain
173,64.6,23,female,active,maintain
159,48.3,30,female,sedentary,maintain
191,77.6,26,male,sedentary,gain
144,42.5,16,female,moderate,maintain
152,49.4,24,female,light,maintain
161,56.5,21,female,light,gain
192,95.5,28,female,moderate,cut
189,98.5,27,male,sedentary,maintain
158,62.2,17,female,moderate,maintain
161,59.2,25,female,very_active,cut
164,57.1,27,female,moderate,maintain
147,47.6,14,male,sedentary,maintain
163,61.4,30,female,sedentary,gain
150,50.4,16,female,very_active,cut
194,103.7,21,female,very_active,gain
184,60.2,14,female,moderate,cut
152,57.5,29,female,light,gain
189,94.3,27,male,moderate,maintain
160,51.3,20,male,moderate,maintain
163,57.9,18,male,moderate,maintain
151,49.6,26,female,moderate,maintain
193,77.4,21,female,very_active,gain
165,70.6,22,female,moderate,gain
194,95.3,30,male,very_active,gain
156,67.4,23,male,active,maintain
152,56.9,18,female,very_active,cut
153,50.9,15,female,light,cut
180,74.3,15,male,sedentary,cut
152,52.8,22,female,light,gain
